tahun,kabupaten_kota,populasi_ribu,laju_pertumbuhan_pct,pct_total_populasi,kepadatan_jiwa_km2,rasio_jenis_kelamin
2010,Banggai,323.6,1.73,12.28,33.0,104.5
2010,Banggai Kepulauan,171.6,1.37,6.51,53.0,102.6
2010,Banggai Laut,,,,,
2010,Buol,132.3,2.31,5.02,33.0,105.8
2010,Donggala,277.6,1.49,10.54,53.0,105.4
2010,Kota Palu,336.5,1.71,12.77,852.0,101.9
2010,Morowali,206.3,2.16,7.83,13.0,107.7
2010,Morowali Utara,,,,,
2010,Parigi Moutong,413.6,,15.7,66.0,106.0
2010,Poso,209.2,2.43,7.94,24.0,108.2
2010,Sigi,215.0,,8.16,41.0,106.2
2010,Sulawesi Tengah,2635.0,1.95,100.0,39.0,105.2
2010,Tojo Una-Una,137.8,,5.23,24.0,105.4
2010,Toli-Toli,211.3,1.26,8.02,52.0,104.8
2017,Banggai,365.6,1.69,12.33,38.0,103.5
2017,Banggai Kepulauan,116.8,0.89,3.94,47.0,101.7
2017,Banggai Laut,72.3,2.1,2.44,100.0,101.4
2017,Buol,155.6,2.26,5.25,38.0,105.1
2017,Donggala,299.2,1.02,10.09,70.0,104.6
2017,Kota Palu,379.8,1.68,12.8,961.0,101.1
2017,Morowali,117.3,1.92,3.96,39.0,104.4
2017,Morowali Utara,123.0,2.34,4.15,12.0,109.1
2017,Parigi Moutong,474.3,1.92,15.99,93.0,105.0
2017,Poso,246.0,2.27,8.29,35.0,107.3
2017,Sigi,234.6,1.2,7.91,45.0,105.5
2017,Sulawesi Tengah,2966.3,1.65,100.0,48.0,104.3
2017,Tojo Una-Una,150.8,1.24,5.08,26.0,104.6
2017,Toli-Toli,231.0,1.23,7.79,57.0,103.9
2018,Banggai,371.3,1.67,12.33,38.0,103.5
2018,Banggai Kepulauan,117.6,0.87,3.91,47.0,101.7
2018,Banggai Laut,73.7,2.08,2.45,102.0,101.4
2018,Buol,158.8,2.24,5.28,39.0,105.0
2018,Donggala,301.6,1.0,10.02,71.0,104.4
2018,Kota Palu,385.6,1.66,12.81,976.0,101.1
2018,Morowali,119.3,1.89,3.96,39.0,104.3
2018,Morowali Utara,125.6,2.31,4.17,13.0,109.0
2018,Parigi Moutong,482.8,1.9,16.04,95.0,105.0
2018,Poso,251.2,2.25,8.34,35.0,107.1
2018,Sigi,237.0,1.18,7.87,46.0,105.3
2018,Sulawesi Tengah,3010.4,1.63,100.0,49.0,104.2
2018,Tojo Una-Una,152.5,1.23,5.07,27.0,104.4
2018,Toli-Toli,233.4,1.2,7.75,57.0,103.9
2019,Banggai,376.8,1.65,12.34,39.0,103.5
2019,Banggai Kepulauan,118.4,0.84,3.88,48.0,101.7
2019,Banggai Laut,75.0,2.05,2.46,103.0,101.0
2019,Buol,162.2,2.23,5.31,40.0,104.8
